task_title,difficulty_level,task_handler,t1
"Replace the content of the file ""mynewfileAdvanced.txt""",Intermediate,back-end developer,JAVASCRIPT
Test all the server,Intermediate,tester,MANUAL TESTING
Create HTML forms,Intermediate,front-end developer,HTML
Test all the handling,Advanced,tester,MANUAL TESTING
Create a function that will select random names from the list,Advanced,front-end developer,HTML
Choose Font Style,Beginner,designer,GOOGLE FONTS
Split a web address into readable parts,Advanced,back-end developer,JAVASCRIPT
Create HTML tables,Advanced,front-end developer,HTML
"Rename ""mynewfileBeginner.txt"" to ""myrenamedfile.txt""",Intermediate,back-end developer,JAVASCRIPT
Create icons ,Intermediate,designer,FIGMA
Choose Font Style,Beginner,designer,GOOGLE FONTS
Create and insert a Favicon,Intermediate,front-end developer,HTML
Create an increement and decreement button,Beginner,front-end developer,HTML
Create a list where every number is the sum of the three previous ones,Intermediate,front-end developer,HTML
Switch the starting values that are held in two variables,Beginner,front-end developer,HTML
Create a fucntion for optimizing the new images,Advanced,front-end developer,HTML
Put image element,Beginner,front-end developer,HTML
Create a bullet list ,Beginner,front-end developer,HTML
If user click than use carousel using conditional statements,Beginner,front-end developer,HTML
Upload the file using Formidable Module,Advanced,back-end developer,JAVASCRIPT
Create separate HTML divs,Advanced,front-end developer,HTML
Use F-layout in the content,Beginner,designer,ADOBE ILLUSTRATOR
Create Tags in search section,Intermediate,designer,HTML
Test all the APIs,Advanced,tester,POSTMAN
Create different nodes usind JS DOM method,Beginner,front-end developer,HTML
Bind an array of Vue objects to an array of HTML element,Intermediate,front-end developer,HTML
Create a Breadcrumb Navigation,Intermediate,designer,HTML
Create HTML links and Anchor Tags,Beginner,front-end developer,HTML
"Create a Node.js file that opens the requested file and returns the content to the client. If anything goes wrong, throw a 404 error",Advanced,back-end developer,JAVASCRIPT
Create an animated video ,Intermediate,designer,ADOBE AFTER EFFECT
Create the featured project section,Beginner,designer,ADOBE PHOTOSHOP
Test all the defined functionalities,Intermediate,tester,MANUAL TESTING
select all the fields available in the table,Intermediate,back-end developer,SQL DATABASE
Test all the redirections,Intermediate,tester,MANUAL TESTING
Create a navigation bar ,Beginner,front-end developer,HTML
Test all the redirections,Advanced,tester,MANUAL TESTING
Create Bootstrap containers,Intermediate,front-end developer,HTML
Create a responsive navbar,Intermediate,front-end developer,HTML
Test all the redirections,Advanced,tester,MANUAL TESTING
Use Z-layout in the content,Intermediate,designer,ADOBE ILLUSTRATOR
Write content inside XHTML elements ,Intermediate,front-end developer,HTML
Create a Progress Bar,Intermediate,designer,HTML
Insert the missing parts in the JOIN clause to join the two tables,Intermediate,back-end developer,SQL DATABASE
Design the web flow chart ,Advanced,designer,WEBFLOW
Create icons ,Intermediate,designer,FIGMA
Find the price of the most expensive product,Intermediate,back-end developer,SQL DATABASE
Choose selector priorities,Intermediate,designer,HTML
Create a function for calculating and passing it as input to other function,Intermediate,front-end developer,HTML
Create HTML links and Anchor Tags,Beginner,front-end developer,HTML
Put image element,Beginner,front-end developer,HTML
Upload the file using Formidable Module,Intermediate,back-end developer,JAVASCRIPT
Write content inside XHTML elements ,Intermediate,front-end developer,HTML
Design a web banner,Beginner,designer,ADOBE ILLUSTRATOR
Create different nodes usind JS DOM method,Intermediate,front-end developer,HTML
Select all the different values from the Country column,Beginner,back-end developer,SQL DATABASE
Make the server able to send emails,Advanced,back-end developer,JAVASCRIPT
Bind an array of Vue objects to an array of HTML element,Intermediate,front-end developer,HTML
Pick and mix the CSS selectors,Intermediate,front-end developer,HTML
Create an HTTP server,Advanced,back-end developer,JAVASCRIPT
Test all the defined functionalities,Beginner,tester,MANUAL TESTING
Use box model for styling,Advanced,front-end developer,HTML
Concatenate the starting variable results,Beginner,front-end developer,HTML
Create Bootstrap containers,Advanced,front-end developer,HTML
Create the logo,Beginner,designer,ADOBE PHOTOSHOP
Create a module that returns the current date and time,Advanced,back-end developer,JAVASCRIPT
 create-and fire- the event ,Beginner,back-end developer,JAVASCRIPT
Add arithmetic and the modulo operator in calculating section,Advanced,front-end developer,HTML
Test all the server,Intermediate,tester,MANUAL TESTING
Refactor the  code,Beginner,front-end developer,HTML
Add arithmetic and the modulo operator in calculating section,Beginner,front-end developer,HTML
Manage layout and grid by CSS media-queries,Beginner,front-end developer,HTML
Change the casing of first and last name to upper case ,Intermediate,front-end developer,HTML
Create an increement and decreement button,Intermediate,front-end developer,HTML
Create HTML forms,Advanced,front-end developer,HTML
Choose selector priorities,Intermediate,designer,HTML
Change class selectors,Beginner,front-end developer,HTML
"Insert a new record, but only insert data in the first column",Intermediate,back-end developer,SQL DATABASE
Test all the integrations,Intermediate,tester,MANUAL TESTING
Bind the data to a model using ng-bind,Intermediate,front-end developer,HTML
Design the web flow chart ,Intermediate,designer,WEBFLOW
Switch the starting values that are held in two variables,Intermediate,front-end developer,HTML
Create a responsive navbar,Intermediate,front-end developer,HTML
"Rename ""mynewfileBeginner.txt"" to ""myrenamedfile.txt""",Advanced,back-end developer,JAVASCRIPT
Create an HTTP server,Advanced,back-end developer,JAVASCRIPT
Create a landing page,Advanced,front-end developer,HTML
Bind the value of HTML elements to application data,Intermediate,front-end developer,HTML
Find the price of the most expensive product,Intermediate,back-end developer,SQL DATABASE
Slice the commenting limit to 50 letters,Advanced,front-end developer,HTML
Change positions by using Static Positioning,Advanced,front-end developer,HTML
Create Radio Buttons,Advanced,designer,FLUTTER
Create Tags in search section,Advanced,designer,HTML
Test all the responsiveness,Advanced,tester,MANUAL TESTING
Add event listners to the Buttons,Intermediate,front-end developer,HTML
 create-and fire- the event ,Advanced,back-end developer,JAVASCRIPT
Design the web flow chart ,Intermediate,designer,WEBFLOW
Add animations to a website,Intermediate,front-end developer,HTML
Select all the different values from the Country column,Beginner,back-end developer,SQL DATABASE
Choose the correct JOIN clause to select all records from the two tables where there is a match in both tables,Advanced,back-end developer,SQL DATABASE
Add slider for Pricing Section,Advanced,designer,HTML
Put image element,Intermediate,front-end developer,HTML
Change class selectors,Beginner,front-end developer,HTML
Change the casing of first and last name to upper case ,Advanced,front-end developer,HTML
Test all the redirections,Intermediate,tester,MANUAL TESTING
Create a new file using the writeFile() method,Intermediate,back-end developer,JAVASCRIPT
Create a responsive navbar,Beginner,front-end developer,HTML
Create separate HTML divs,Advanced,front-end developer,HTML
Select the first Beginner000 records from the result,Intermediate,back-end developer,SQL DATABASE
Test all customers with a NULL value and find the average,Intermediate,back-end developer,SQL DATABASE
Choose selector priorities,Intermediate,designer,HTML
Publish your website on Github,Advanced,front-end developer,GITHUB
Upload the file using Formidable Module,Intermediate,back-end developer,JAVASCRIPT
Create Bootstrap containers,Advanced,front-end developer,HTML
Bind an array of Vue objects to an array of HTML element,Intermediate,front-end developer,HTML
Create HTML links and Anchor Tags,Beginner,front-end developer,HTML
Font style the website,Advanced,front-end developer,HTML
"Manipulate different styles, text and attributes ",Beginner,front-end developer,HTML
Test all the integrations,Beginner,tester,MANUAL TESTING
"Replace the content of the file ""mynewfileAdvanced.txt""",Intermediate,back-end developer,JAVASCRIPT
Play sounds on a website,Intermediate,front-end developer,HTML
Change the first letter of string to upper case ,Beginner,front-end developer,HTML
Concatenate the starting variable results,Advanced,front-end developer,HTML
Font style the website,Beginner,front-end developer,HTML
Create typography in introduction,Beginner,designer,ADOBE PHOTOSHOP
Add arithmetic and the modulo operator in calculating section,Intermediate,front-end developer,HTML
Change the first letter of string to upper case ,Intermediate,front-end developer,HTML
Create different nodes usind JS DOM method,Intermediate,front-end developer,HTML
